TaskID,ParentStory,SourceID,SourceStatus,TaskOrConstraint
TASK-0096,ST-BRD-01,SRC-0482,Planned,"Teilabnahme UD-2026-09-26-16 dokumentiert: ausschließlich sieben benannte Policy-Bereiche. Gesamt-Phase-0-Abnahme und technische/operative Nachweise bleiben offen; keine Board-Karten, automatischen Warnungen oder Marvin-Schreibrechte produktiv anlegen, bis die dafür erforderlichen Gates erfüllt sind."
TASK-0097,ST-BRD-01,SRC-0484,Planned,"Backlog slice: Backlog samt zulässigen Items; Projekt-Tasks müssen einer Story angehören, private To-dos sind ausgenommen. Die zwei Board-Zeilen und ihre fünf Spalten sind separat in TASK-0217/ST-BRD-05 abgebildet."
TASK-0098,ST-BRD-01,SRC-0485,Planned,"Backlog-Persistenz: additive Migration für scrum_items mit stabiler ID, Typ, Priorität, Elternbezug und erforderlichen Zeitfeldern. Board-Positionen/Übernahmen/Verlauf liegen in TASK-0218; Warnungs-Inbox/-Zuordnung in TASK-0219."
TASK-0099,ST-BRD-01,SRC-0486,Planned,Rollen- und CSRF-geschützte Backlog- und Item-Endpunkte für ST-BRD-01. Board-/Move-/Claim-/History-Endpunkte sind separat als TASK-0220/ST-BRD-05 zu prüfen.
TASK-0100,ST-BRD-02,SRC-0487,Planned,"- [ ] Eine zugängliche Tablet-Ansicht im Querformat bauen: beide Zeilen, Backlog, Karten-Details, große Bedienelemente sowie eine vollständige Tastaturalternative zu Drag-and-drop. Karte, Priorität, Fälligkeit, Übernahme und Verlauf müssen ohne Leistungs- oder Personenranking sichtbar und verständlich sein."
TASK-0101,ST-BRD-04,SRC-0488,Planned,"- [ ] Marvin-MVP auf ausdrücklich beauftragte Backlog-Anlage und zulässiges Einplanen nach Offen begrenzen; andere Board-Verschiebungen, autonome Priorisierung, Übernahmen, Done und Warnungsauflösung abweisen und auditieren."
TASK-0102,ST-BRD-03,SRC-0489,Planned,"- [ ] Die persistente Warnungs-Inbox über einen separaten, idempotenten und authentifizierten VanVenture-Ereigniskanal vorbereiten. `info` und `normal` bleiben Inbox-Ereignisse; `high` und `critical` erzeugen genau eine Fast-Track-Karte. Dienstidentität, Signatur/Schlüsselrotation, Wiederholung, Datenminimierung und der Warnungskatalog werden vor dem Einschalten verbindlich festgelegt."
TASK-0103,ST-BRD-01,SRC-0490,Planned,"- [ ] Content Planner und Scrum Board getrennt halten. Eine freiwillige Verknüpfung zu Story/Epic oder Planner-Eintrag darf nie Status, Inhalt oder Stunden automatisch überschreiben."
TASK-0104,ST-BRD-01,SRC-0491,Planned,"- [ ] Migrations-, Rechte-, CSRF-, Transaktions-, Idempotenz-, Archiv- und Tablet-Tests sowie Wiederherstellung von Board, Inbox und Verlauf aus Backup durchführen. Vor der Live-Migration einen geschützten Dump erstellen; danach `/healthz`, private Board-Route und sichtbare Bedienung live prüfen. Nur der Webdienst darf bei Bedarf kurz neu starten."
TASK-0105,ST-INS-02,SRC-0492,Planned,- [ ] Die künstliche 500-Video-Grenze im paginierten YouTube-Import entfernen und mit einem Bestand über 500 Videos automatisiert prüfen.
TASK-0106,ST-INS-03,SRC-0493,Planned,"- [ ] Die im technischen Entwurf vorgesehene Administrator-Aktion „YouTube trennen“ ergänzen: gespeicherte Token sicher löschen/widerrufen, Folge-Syncs stoppen und den Vorgang auditieren."
TASK-0107,ST-INS-04,SRC-0494,Existing / Verify,- [x] Den ersten YouTube-Reach-Report abnehmen: Am 23. September 2026 wurden zwei positive Impressionswerte (5 und 1) sowie echte CTR-Nullwerte im Cockpit eingelesen und geprüft.
TASK-0108,ST-INS-04,SRC-0495,Planned,"- [ ] Traffic Sources sowie verfügbare Retention-/Engagement-Zeitreihen mit Zeitraum, Datenstand und API-Grenzen im Cockpit sichtbar machen."
TASK-0109,ST-INS-04,SRC-0496,Planned,"- [ ] Video-Detailseite mit 1/7/28/90/365-Tage-Vergleich, Datenqualität und Long-Tail-/Alterslogik ergänzen."
TASK-0110,ST-INS-05,SRC-0497,Planned,"- [ ] Strukturierte Ziel-/Ist-Metriken mit Kennzahl, Zielwert, Istwert und Bewertungszeitpunkt entsprechend dem bestehenden Cockpit-Fachmodell content_item_metrics zuordnen. Das Tabellenmodell ist in docs/vanventure-cockpit-plan.md dokumentiert; Schemaabgleich gegen vorhandene content_items-Stundenfelder und SRC-1128 vor Implementierung."
TASK-0111,ST-INS-05,SRC-0498,Planned,- [ ] Effizienzmetriken aus tatsächlichen Stunden und veröffentlichten Ergebnissen berechnen; bis dahin keine Erfolgsbehauptung aus Views allein.
TASK-0112,ST-INS-06,SRC-0499,Planned,Document the export → external analysis → human review workflow and provenance; destination writes remain in separate stories.
TASK-0113,ST-OPS-02,SRC-0500,Planned,"Public privacy policy, terms, contact email and legal notice prepare separately; record applicable legal reviews (SRC-0500.a1–a5)."
TASK-0114,ST-OPS-02,SRC-0501,Planned,"Record real legal-text URLs, domain confirmation and verification only for required OAuth scopes (SRC-0501.a1–a3)."
TASK-0115,ST-OPS-02,SRC-0502,Planned,"After prerequisites, switch OAuth Test to Production and separately retest connection (SRC-0502.a1–a2); release approval is separate."
TASK-0116,ST-OPS-02,SRC-0503,Planned,"Document binding cockpit-data retention, export and deletion decisions with scope and location (SRC-0503.a1–a3)."
TASK-0117,ST-WEB-03,SRC-0504,Existing / Verify,Track all-gallery caption/magnifier/arrow preview and explicit design decision; record historical equipment navigation and later redirect separately (SRC-0504).
TASK-0118,ST-WEB-01,SRC-0505,Existing / Verify,Verify direct navigation and approved bike overview redirect against current routes; local menu test is historical only (SRC-0505).
TASK-0119,ST-PHOTO-02,SRC-0506,Partially Done,"Track three privately approved colour samples, four local uses and remaining motif/variant/privacy/device reviews without asserting live status (SRC-0506)."
TASK-0120,ST-PHOTO-02,SRC-0507,Blocked,Use inventory/contact sheets for motif review; record four-file vehicle exception separately; hash audit does not complete grading (SRC-0507).
TASK-0121,ST-WEB-02,SRC-0508,Existing / Verify,"Verify dated kayak/vehicle renderer, heading and card claims; enumerate remaining structural slices (SRC-0508/0509)."
TASK-0122,ST-WEB-04,SRC-0508,Existing / Verify,Verify dated common travel generator and current travel routes without content redesign (SRC-0508/0509).
TASK-0123,ST-WEB-02,SRC-0509,Planned,Enumerate and verify remaining kayak/vehicle structures without content redesign (SRC-0509).
TASK-0124,ST-WEB-03,SRC-0509,Planned,"Refresh all public routes, verify visual/device scope, present local preview, obtain separate release-scope approval, then document pushed SHA and live checks (SRC-0509)."
TASK-0125,ST-WEB-04,SRC-0509,Planned,Verify remaining common travel sections for each current travel route (SRC-0509).
TASK-0126,ST-WEB-05,SRC-0509,Planned,Verify Scott generator/hero claims and visually accept hero and full page; retain four-profile poster exception (SRC-0509).
TASK-0127,ST-PHOTO-01,SRC-0510,Planned,Privacy-Grenzen der betroffenen Ableitungen pro Motiv prüfen; gesperrte Proben nicht zeigen.
TASK-0128,ST-PHOTO-02,SRC-0510,Planned,"Verworfene Erstproben nicht als fertig zählen; je Motiv Farbe, Ausschnitt und Spiegelung im großen Vergleich prüfen."
TASK-0129,ST-PHOTO-03,SRC-0510,Planned,Vier bereits freigegebene Fahrzeugbilder aus der Farbüberarbeitung ausnehmen.
TASK-0130,ST-PHOTO-07,SRC-0510,Planned,Webeinbau und Gesamt-Review je freigegebenem Motiv vor Veröffentlichung belegen.
TASK-0131,ST-WEB-05,SRC-0511,Existing / Verify,Bereits lokal geprüfte Zentralisierung der vier Vorbereitungsprofile als Existing markieren; ausstehende Sicht- und Live-Prüfung getrennt erfassen.
TASK-0132,ST-PHOTO-01,SRC-0512,Blocked,- **Bildzuordnung – Stand 24. September 2026:** Alle neun angeforderten Google-Fotos-Dateien liegen jetzt unverändert im privaten Ordner `review/selected-originals/google-photos-incoming/`. SHA-256 der sechs Reisebilder-Downloads stimmt jeweils exakt mit der bereits aufbewahrten unveränderten Projektkopie überein; Bildregister und Abnahmebericht sind aktualisiert. Die drei Scott-Downloads sind dort ebenfalls separat aufbewahrt und gehasht; der visuelle Abgleich ordnet die breite Galerie dem Frame `133850` und das hohe Bild `133853` zu. Bearbeitungskette und Freigabe sind noch offen; das nahe Original zeigt ein Kennzeichen. Keine Webdatei wurde in diesem Schritt verändert oder veröffentlicht; der strenge Bildlauf ist damit nicht automatisch freigegeben.
TASK-0133,ST-PHOTO-01,SRC-0513,Existing / Verify,"- **Arbeitsregel, lokal dokumentiert am 23. September 2026:** Für jede Bildaufgabe auf vanventure.at ist der verbindliche Skill in `C:\Users\helmu\.codex\skills\photo-archive-safety\SKILL.md` zu lesen und anzuwenden. Diese Regel wurde nur in `AGENTS.md` des VanVenture- Repositories verankert; es wurden keine Website-Bilder verändert, geprüft, veröffentlicht oder live ausgerollt."
TASK-0134,ST-PHOTO-04,SRC-0514,Planned,"- [ ] Fahrzeugseite, Reiseberichte und Ausrüstungsliste nur mit belegten, freigegebenen Fakten und Fotos erweitern; Kennzeichen auf Webderivaten anonymisieren."
TASK-0135,ST-CON-04,SRC-0515,Planned,"- [ ] Riverstar-/Kajak-Entwurf fachlich und redaktionell freigeben, bevor er öffentlich wird; vorher Gewässer/Ort der Uferbilder und die konkrete Kritik an den Schwimmwesten klären."
TASK-0136,ST-SEO-02,SRC-0516,Planned,"- [ ] **SEO 2.1 – Search Console:** Domain mit Eigentümerkonto unabhängig verifizieren; nach erfolgreicher Bestätigung die exakte Sitemap einreichen; fünf historische und aktuelle URLs getrennt prüfen.
- [ ] **SEO 2.2 – Bing Webmaster Tools:** Domain unabhängig verifizieren; nach erfolgreicher Bestätigung dieselbe Sitemap-URL einreichen; URL-Prüfung und Datenstatus separat dokumentieren.
- [ ] **SEO 2.3 – Gemeinsames Ergebnis:** Erst nach beiden Dienstprüfungen Indexierung, Suchbegriffe, Impressionen und Klicks mit Zeiträumen und Datenlücken vergleichen. Fehlender Kontozugang bleibt als externe Voraussetzung offen."
TASK-0137,ST-SEO-03,SRC-0517,Planned,- [ ] Bei ausdrücklich ausgewählten Reisevideos passende Website-Links ergänzen; keine automatisierten Fremdbeiträge oder gekauften Links.
TASK-0138,ST-OPS-01,SRC-0518,Planned,- [ ] Backup/Restore inklusive Cockpit-Tabellen alle zwei bis vier Wochen wiederholen und dokumentieren.
TASK-0139,ST-BRD-03,SRC-0519,Planned,- [ ] Die persistente Warnungs-Inbox erst nach Umsetzung und gemeinsamer Prioritätsregel des Familien-Scrum-Boards als Benachrichtigungskanal anschließen.
TASK-0140,ST-OPS-01,SRC-0520,Planned,"- [ ] Bei jedem Web-Release Website, PostgreSQL und Caddy geschützt weiterbetreiben und `/healthz`, betroffene Route sowie sichtbares Ergebnis prüfen."
TASK-PKG014-01,ST-PHOTO-03,SRC-0466,Planned,V3-Freigabe nur für diese Webvariante abgrenzen; Front-Kennzeichen-Derivat vor Einbindung prüfen. Die spätere Entscheidung SRC-0660 gilt nur für vier genau benannte Bestandsfassungen; andere Fassungen benötigen eigene Entscheidung.
TASK-COVR1-01,ST-BRD-01,SRC-0491,Planned,"Migration, Rechte, CSRF, atomare Übernahme, Idempotenz, Archiv und gemeinsamen Restore von Board, Inbox und Verlauf mit Positiv- und Negativfällen nachweisen."
TASK-COVR1-02,ST-BRD-02,SRC-0491,Planned,Küchen-Tablet im Querformat mit Touch und vollständiger Tastaturalternative reproduzierbar prüfen.
TASK-COVR1-03,ST-BRD-03,SRC-0491,Blocked,"Nach Fachentscheidungen Warnungseingang, Wiederholung, Inbox und Restore aus dem geschützten Backup prüfen."
TASK-COVR1-04,ST-BRD-04,SRC-0491,Blocked,Marvin-Schreibrechte nur nach Auftrag sowie verweigerte Aktionen und Audit-Verlauf prüfen.
TASK-COVR1-05,ST-WEB-06,SRC-0514,Planned,Je neuem Ausrüstungslisteneintrag Sachbeleg und Fotoquelle samt Freigabe prüfen; ungeprüfte Einträge nicht veröffentlichen.
TASK-COVR1-025-01,ST-INS-01,SRC-1163,Existing / Verify,"Offene Sichtabnahme der Einordnen-Schaltfläche an echten Videodaten je Zeile, einschließlich Erkennbarkeit und Tastaturbedienung, dokumentieren; historischen Techniknachweis vom 22.09.2026 getrennt halten."
TASK-COVR1-025-02,ST-INS-01,SRC-1160,Existing / Verify,"Dashboard-Vorperiode, Top-/Flop-Videos, Datenqualität, nächste Planner-Inhalte und offene Insights mit getrennten Daten- und Sichtfällen prüfen."
TASK-COVR1-025-03,ST-INS-01,SRC-1162,Existing / Verify,"Vollständige filterbare Videoliste, Pflichtangaben jeder Zeile und Video-zu-content_items-Zuordnung ohne YouTube-Schreiben prüfen."
TASK-COVR1-025-04,ST-INS-01,SRC-1166,Existing / Verify,"Planner-Jahresgerüst, Verschiebbarkeit, Pflichtangaben, spätere YouTube-Verknüpfung und ergänzende Kurzformate mit Longform-Erhalt prüfen."
TASK-COVR1-025-05,ST-INS-01,SRC-1169,Existing / Verify,"Insight-Signale, vier Herkunftsangaben, regelbasierte Erstphase und Sperre für ungeprüfte KI-Zusammenfassungen beziehungsweise automatische Veröffentlichung prüfen."
TASK-COVR1-025-06,ST-INS-04,SRC-1164,Planned,"Detailzeitreihe, nur verfügbare Traffic-/Engagement-Werte und alle fünf Snapshot-Alter samt Datenlücken getrennt prüfen."
TASK-COVR1-025-07,ST-BRD-01,SRC-1167,Blocked,"Board-Bereiche, getrennten Planner/Backlog, beide Zeilen und fünf Spalten sowie Übernahme-, Review- und Done-Gates nach Phase-0-Entscheidung prüfen."
TASK-COVR1-025-08,ST-BRD-02,SRC-1167,Planned,Fünf Aufgabenbereiche und Board-Bedienung am Küchen-Tablet nach Rollenentscheidung mit Touch und Tastatur prüfen.
TASK-COVR1-025-09,ST-BRD-03,SRC-1168,Blocked,"Nach fachlichen Gates Persistenz, authentifizierte Herkunft, Idempotenz und einmalige Kartenanlage je high/critical samt Vorab-Sperre prüfen."
TASK-COVR1-026-01,ST-INS-01,SRC-1170,Existing / Verify,"Redaktionelle Context-Pflege, Eintragsfelder, Statuswechsel und Freigabe-Gate für Planner, Insights sowie bedingte spätere automatische Briefings/KI-Kontexte mit Positiv- und Negativfällen prüfen."
TASK-COVR1-026-02,ST-INS-01,SRC-1171,Existing / Verify,Sechs Context-Startkategorien mit allen in SRC-1171–1176 benannten Unterthemen einzeln prüfen; keine fiktiven Fakten anlegen.
TASK-COVR1-026-03,ST-INS-01,SRC-1178,Existing / Verify,"Drei YouTube-Verbindungssecrets auf private Konfiguration und Verwendung prüfen; Wertfreiheit in .env.example, Git, ungeschützten Backups und Client-Code getrennt nachweisen."
TASK-COVR1-026-04,ST-INS-01,SRC-1179,Existing / Verify,AES-256-GCM-Muster für Refresh Tokens und vor Schlüsselrotation geplantes Re-Encryption-Verfahren getrennt prüfen; Token/Schlüssel in Belegen maskieren.
TASK-COVR1-027-01,ST-INS-01,SRC-1180,Planned / Verify,Cockpit-Datenfelder und Zweckbindung prüfen; Kommentarinhalt und personenbezogene Daten ohne neu dokumentierten Bedarf getrennt als Negativfälle.
TASK-COVR1-027-02,ST-INS-01,SRC-1181,Planned / Verify,"Rohmetrik- und Audit-Log-Fristen mit Geltungsbereich, Datum und Beschluss getrennt einholen; Admin-Export-/Löschkonzept und Datenschutztext gesondert nachweisen."
TASK-COVR1-027-03,ST-INS-01,SRC-1182,Planned / Verify,"Fünf Log-Geheimnisklassen, private HTTPS-Route sowie API-Cache-Control-/Proxy-Grenze jeweils mit Negativfällen prüfen."
TASK-COVR1-027-04,ST-INS-01,SRC-1183,Planned / Verify,"YouTube-OAuth-Start-Limit und Consent Screen, Produktions-Redirect-URI, minimale Scopes sowie Google-Datenschutz-/Nutzungsanforderungen einzeln prüfen."
TASK-COVR1-027-05,ST-INS-01,SRC-1187,Planned / Verify,"Kanalinhaberin, Kennzahlen, Regionen, Währung und Datenaufbewahrung als getrennte Phase-0-Entscheidungen mit Belegen erfassen."
TASK-COVR1-027-06,ST-INS-01,SRC-1189,Planned / Verify,Cockpit-URL und Docker/Contabo-Ausführungsort des täglichen Jobs getrennt festlegen und gegen Konfiguration/Zeitplan prüfen.
TASK-COVR1-027-07,ST-WEB-07,SRC-1185,Planned / Verify,"Datenschutzerklärung auf sieben Mindestthemen, Nutzungsbedingungen auf privaten rollenbasierten Zugang und beide Texte auf Rechtsprüfung prüfen."
TASK-COVR1-027-08,ST-WEB-07,SRC-1184,Planned / Verify,Beide echten öffentlichen Rechtsseiten und URLs auf vanventure.at prüfen; redaktionelle und rechtliche Freigabe vor Eintrag in Google Auth Platform belegen.
TASK-COVR1-027-09,ST-OPS-01,SRC-1182,Planned / Verify,"Schutz der Datenbankbackups anhand Ablage, Zugriff und Restore aktuell nachweisen."
TASK-COVR1-027-10,ST-OPS-02,SRC-1186,Planned / Verify,"Google-App-Metadaten, bedingte Domain-/OAuth-Verifizierung, Testmodus, Testnutzer und erneute Freigabe einzeln als Produktionsgate prüfen."
TASK-COVR1-027-11,ST-AUTH-01,SRC-1183,Planned / Verify,Login-Rate-Limit und Cache-Control-/Proxy-Grenze privater Auth-API-Antworten getrennt prüfen.
TASK-COVR1-028-01,ST-INS-01,SRC-1190,Planned / Verify,"AC-COVR1-028-01: Der Schemaabgleich weist Migrationen für `yt_*`, Planner, Master Context und Audit-Log einzeln aus. Wiederholter Upsert, Fremdschlüsselverletzung und Indexnutzung erhalten je einen reproduzierbaren Migrationsprüffall; die andere offene `yt_`-Präfixentscheidung (`SRC-1128.a`) wird damit nicht vorweggenommen. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-02,ST-AUTH-01,SRC-1191,Planned / Verify,"AC-COVR1-028-02: Das bestehende Auth-, CSRF- und Rollenmodell schützt `/cockpit` und `/api/cockpit/*`. Eine automatisierte Rechte-Matrix prüft beide Routentypen mit angemeldeter berechtigter, angemeldeter unberechtigter und anonymer Rolle; Schreibaufrufe prüfen zusätzlich gültigen und fehlenden/ungültigen CSRF-Nachweis. Die bedingte `analytics_viewer`-Rolle wird nicht als eingeführt behauptet. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-03,ST-INS-01,SRC-1192,Planned / Verify,"AC-COVR1-028-03: Geheimnisse und Tokens liegen gemäß `SRC-1178/1179` verschlüsselt beziehungsweise privat; Konfiguration wird auf erforderliche Werte und ungültige/fehlende Werte geprüft. Logmaskierung deckt die Klassen aus `SRC-1182` mit getrennten Negativfällen. Keine Geheimniswerte erscheinen im Nachweis; diese AC verknüpft die vorhandenen Sicherheitsregeln, statt sie neu zu definieren. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-04,ST-INS-03,"SRC-1193,SRC-1025,SRC-1042",Planned / Verify,"YouTube OAuth-Connect, Callback, Kanalbestätigung, Reconnect und Disconnect getrennt prüfen. Die Kanalverbindung ist vom Web-Login getrennt und ausschließlich administrativ verwaltbar; ohne explizit gültige Kanalverbindung startet kein Sync."
TASK-COVR1-028-05,ST-INS-01,SRC-1194,Planned / Verify,"AC-COVR1-028-05: Data-API- und Analytics-API-Adapter werden getrennt an paginierten und mehrseitigen Antworten geprüft. Quoten-/Rate-Grenze, Retry nach vorübergehendem Fehler und endgültiger Fehler sind eigene Prüffälle. Das Response-Mapping weist Rohfeld, Zieldatenfeld und Verhalten bei fehlenden/ungültigen Werten je Adapter reproduzierbar aus; die offene 500-Video-Grenze im Gesamtplan bleibt als Resttask sichtbar. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-06,ST-INS-01,"SRC-1195,SRC-1026,SRC-1043",Planned / Verify,"Idempotente sichere tägliche Serversynchronisierung eines Kanals prüfen. Der automatische Job läuft im selben Container erst, nachdem der erste manuelle Sync erfolgreich abgeschlossen und visuell geprüft wurde."
TASK-COVR1-028-07,ST-INS-01,SRC-1196,Planned / Verify,"AC-COVR1-028-07: Kanal- und Video-Tagesmetriken werden je Entität/Datum geschrieben und gelesen; ein erneuter Sync korrigiert Werte im Nachzugsfenster von mindestens 35 Tagen, ohne Duplikate zu erzeugen. Fällige Snapshots werden materialisiert und je Stichtag abgerufen; ein noch nicht fälliger Snapshot wird nicht als vollständig ausgegeben. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-08,ST-INS-01,SRC-1197,Planned / Verify,"AC-COVR1-028-08: Ein Staging- oder Testkanal liefert getrennte Prüffälle für Quotenerschöpfung, Zeitzonen-/Tagesgrenze, fehlende Analytics und nachträgliche Datenkorrektur. Testkonfiguration und Prüfprotokoll belegen, dass kein Live-Token verwendet wird; Tokenwerte werden nicht ausgegeben. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-09,ST-INS-01,SRC-1198,Planned / Verify,"AC-COVR1-028-09: Der Produktionsstand vom 22.09.2026 belegt historisch die umgesetzte Oberfläche, den VAN-Planer-Eintrag „GCS nach einem Jahr“ auf `briefed` mit verbindlichem Brief und damals 24 **geschätzten** Stunden sowie zehn freigegebene GCS-Fakten im Master Context. Der jüngere Gesamtplan, Abschnitt 2, nennt für den später hinterlegten Brief 8–11 Zielstunden und dieselben zehn Fakten; der heutige Datenstand ist gesondert zu prüfen, keine Angabe sind Ist-Stunden. Technische Restaufgaben stehen dort in Abschnitt 3 (500-Video-Import, Trennen, Traffic/Retention/Engagement, Video-Vergleich, Ziel-/Ist-Metriken, Effizienz und Workflow), die zwei noch offenen Briefs EXPLORE/MOVE in Abschnitt 2. Ihre offenen Checkboxen bleiben offen; keine historische Aussage gilt als aktuelle Implementation Verification. Reproduzierbaren Befund mit Quellstand dokumentieren; keine heutige Umsetzung behauptet."
TASK-COVR1-028-10,ST-INS-01,"SRC-1199,SRC-1017",Planned / Verify,Private Dashboard- und Videoansichten einschließlich Sync-Status und Fehlerzuständen prüfen; fehlgeschlagener letzter Lauf und überfälliger Datenstand müssen in der privaten Übersicht als getrennte Zustände erkennbar sein.
TASK-COVR1-029-01,ST-INS-01,"SRC-1200,SRC-1029",Planned / Verify,Content Planner Jahresansicht und genau zwölf Longform-Slots einzeln prüfen; Implementation Verification bleibt bis zum realen Prüfnachweis offen.
TASK-COVR1-029-02,ST-INS-01,"SRC-1201,SRC-1030",Planned / Verify,"Master-Context-Kategorien und die benannten Themen Van/Hymer, Reisen, Outdoor, MTB, Kajak, Hund und Mission Paris einzeln mit Herkunft/Reviewstatus prüfen; keine unbelegten Fakten ergänzen."
TASK-COVR1-029-03,ST-INS-01,SRC-1202,Planned / Verify,"AC-COVR1-029-03: Regelbasierten Insight gegen sichtbare Daten, Regel und Berechnungsgrundlage prüfen. Aktuelle Implementation Verification offen."
TASK-COVR1-029-04a,ST-INS-01,SRC-1203,Planned / Verify,"AC-COVR1-029-04a: API-, Migrations- und Sync-Idempotenztests getrennt in npm test ergänzen und ausführen. Aktuelle Implementation Verification offen."
TASK-COVR1-029-04b,ST-AUTH-01,SRC-1203,Planned / Verify,"AC-COVR1-029-04b: Berechtigungs-, OAuth-State- und Tokenverschlüsselungstests getrennt in npm test ergänzen und ausführen. Aktuelle Implementation Verification offen."
TASK-COVR1-029-04c,ST-OPS-01,SRC-1203,Planned / Verify,AC-COVR1-029-04c: Sechs Testbereiche und npm-test-Lauf vor einschlägigem Release mit Quellstand belegen. Aktuelle Implementation Verification offen.
TASK-COVR1-029-05a,ST-OPS-01,SRC-1204,Planned / Verify,AC-COVR1-029-05a: Backup/Restore jeder neuen Cockpit-Tabelle mit Datenkonsistenz belegen. Aktuelle Implementation Verification offen.
TASK-COVR1-029-05b,ST-OPS-02,SRC-1204,Planned / Verify,AC-COVR1-029-05b: Datensparsame Admin-Löschroutine spezifizieren; Implementierung und Ausführung gesondert prüfen. Aktuelle Implementation Verification offen.
TASK-COVR1-029-06,ST-OPS-01,SRC-1205,Planned / Verify,"AC-COVR1-029-06: Drei Monitorzustände und regelmäßige Ausführung prüfen; Kanal, Verantwortung und Aktivierung nach Nutzerentscheidung prüfen. Aktuelle Implementation Verification offen."
TASK-COVR1-029-07b,ST-OPS-01,SRC-1206,Planned / Verify,"AC-COVR1-029-07b: Datenschutz-, Sicherheits- und Fachabnahme vor Contabo-Aktivierung getrennt prüfen; Release-Gate gesondert. Aktuelle Implementation Verification offen."
TASK-COVR1-029-07,ST-INS-01,SRC-1207,Planned / Verify,AC-COVR1-029-07: Datierte Reporting-/Reach-Bestandsbelege abgleichen; heutigen Code-/Live-Stand separat prüfen. Aktuelle Implementation Verification offen.
TASK-COVR1-029-08,ST-INS-04,SRC-1208,Planned / Verify,"AC-COVR1-029-08: Traffic, verfügbare Retention/Engagement, Zeitraum und API-Grenzen prüfen; optionalen Fehler ohne Kern-Sync-Blockade prüfen. Aktuelle Implementation Verification offen."
TASK-COVR1-029-09,ST-INS-01,SRC-1208,Planned / Verify,AC-COVR1-029-07: Historische Reporting-Export-Erfassung getrennt von künftigem Traffic-/Retention-/Engagement-Umfang abgleichen. Aktuelle Implementation Verification offen.
TASK-COVR1-029-10,ST-INS-01,SRC-1209,Planned / Verify,AC-COVR1-029-07: Ersten Reach-Tagesreport und damalige Cockpit-Abnahme als datierte Belege abgleichen; Audit V2 gesondert prüfen. Aktuelle Implementation Verification offen.
TASK-COVR1-030-1210,ST-INS-05,SRC-1210,Planning verification open,"Formatklassen, zwei Stundenfelder, datierten Bestand und Datenbedingung der Kennzahl getrennt prüfen."
TASK-COVR1-030-1211,ST-INS-04,SRC-1211,Planning verification open,"Vergleichsgruppen, Datenqualitätsstatus, Long-Tail-/Alterslogik und Snapshot-Vergleich der geplanten Audit-Ansicht prüfen."
TASK-COVR1-030-1212,ST-INS-01,SRC-1212,Planning verification open,"Historischen JSON-V2-Export, Feldliste, Datenstand, Geheimnisausschluss, HTTP 401 und optionales CSV getrennt prüfen."
TASK-COVR1-030-1213,ST-INS-06,SRC-1213,Planning verification open,"Verify export, human review, source provenance, approval, and no-unreviewed-write/no-YouTube-writeback boundaries."
TASK-COVR1-030-1214,ST-AUTH-01,SRC-1214,Planning verification open,"HTML, sämtliche Cockpit-APIs und sofortigen Zugriffsentzug nach Deaktivierung negativ prüfen."
TASK-COVR1-030-1215,ST-INS-03,SRC-1215,Planning verification open,Google-Verbindungsänderung und Sync-Start je nach Rolle sowie kanalbezogene Speicherung unabhängig vom Login prüfen.
TASK-COVR1-030-1216,ST-INS-01,SRC-1216,Planning verification open,Wiederholten Sync auf Tageswert- und Snapshot-Duplikate sowie protokollierten Lauf prüfen.
TASK-COVR1-030-1217,ST-INS-04,SRC-1217,Planning verification open,Fünf Altersstände auf verfügbare Werte und vollständige/unvollständige Kennzeichnung prüfen.
TASK-COVR1-030-1218,ST-INS-01,SRC-1218,Planning verification open,"Export-Mindestfelder und Ausschluss von Token, Secret, Nutzer-/Kontodaten und Sitzungen prüfen."
TASK-COVR1-030-1219,ST-INS-04,SRC-1219,Planning verification open,Shorts/Longform-Trennung und vorläufige oder unterdrückte Schlussfolgerungen je Datenlücke/API-Grenze prüfen.
TASK-COVR1-031-01,ST-INS-01,SRC-1220,Planning verification open,Fünf Cockpit-Ansichten gegen private API und öffentlichen Build ohne Cockpitdaten prüfen.
TASK-COVR1-031-02,ST-AUTH-01,SRC-1221,Planning verification open,Fünf Secret-/Token-Austrittskanäle mit redigierten Negativbefunden prüfen; Release-Gate bei ST-OPS-01.
TASK-COVR1-031-03,ST-INS-06,SRC-1222,Planning verification open,Preserve the Cockpit-plan scope exclusions and external-platform classes as rules; verify only their application to this reviewed workflow.
TASK-COVR1-031-04,ST-INS-06,SRC-1224,Planning verification open,KI-Entscheidung und Drittübermittlung getrennt abweisen; Nutzerentscheidung zum künftigen KI-Gate offen halten.
